epoch,loss
0,0.13889509782294426
1,0.13846285573665862
2,0.1382174882830204
3,0.13785565079265952
4,0.1376700908221479
5,0.1373398767240074
6,0.13714284438774088
7,0.13686629406278858
8,0.13653485729690487
9,0.13630298551623657
10,0.13604422219713835
11,0.13576941969133835
12,0.13554149458071
13,0.1353406850392951
14,0.13504272178220864
15,0.13482706006156503
16,0.13469813177101198
17,0.13440472373682405
18,0.13424162567131137
19,0.13398754900271206
20,0.13373449463021497
21,0.13360152204880457
22,0.13338939940908764
23,0.13324701278541912
24,0.1330993039194848
25,0.1328842216887908
26,0.13273293067188235
27,0.1325232940982225
28,0.13234924684259716
29,0.1320885425039204
