iter,acc,nmi,ari,loss
0,0.36438,0.24709,0.17313,0.0
30,0.26242,0.2169,0.06359,0.12799258679151534
60,0.28619,0.28225,0.13212,0.09584862838188807
90,0.35696,0.25285,0.17421,0.08323901096979777
120,0.37965,0.26983,0.19097,0.06880579714973768
